,historical,rcp45,rcp85
1950-12-31,10421.806518380286,,
1951-12-31,10301.359900730662,,
1952-12-31,10387.2438922119,,
1953-12-31,10309.874324253611,,
1954-12-31,10437.448478829505,,
1955-12-31,10491.46758374894,,
1956-12-31,10417.089486258357,,
1957-12-31,10430.92750222341,,
1958-12-31,10352.828196759892,,
1959-12-31,10440.438960222502,,
1960-12-31,10442.866158665234,,
1961-12-31,10408.31612845283,,
1962-12-31,10377.850695713576,,
1963-12-31,10326.318488551535,,
1964-12-31,10656.672161080482,,
1965-12-31,10726.799377833762,,
1966-12-31,10593.13188502719,,
1967-12-31,10358.910149056555,,
1968-12-31,10650.141901855453,,
1969-12-31,10602.363585553836,,
1970-12-31,10637.668028695227,,
1971-12-31,10445.65288866314,,
1972-12-31,10410.73995936801,,
1973-12-31,10349.47005824496,,
1974-12-31,10549.57810376847,,
1975-12-31,10478.815533360055,,
1976-12-31,10473.43914938789,,
1977-12-31,10348.187347194113,,
1978-12-31,10345.625758579783,,
1979-12-31,10221.018129403237,,
1980-12-31,10210.610296543651,,
1981-12-31,10174.491813092898,,
1982-12-31,10418.265070713573,,
1983-12-31,10525.508893781374,,
1984-12-31,10441.020871407629,,
1985-12-31,10309.71365478514,,
1986-12-31,10240.36635724747,,
1987-12-31,10267.470650591156,,
1988-12-31,10180.39500370569,,
1989-12-31,10143.838692714133,,
1990-12-31,10214.295182625892,,
1991-12-31,9973.066810651493,,
1992-12-31,10517.716471296026,,
1993-12-31,10310.20024980816,,
1994-12-31,10061.398904854897,,
1995-12-31,10301.713136945438,,
1996-12-31,10163.923400050557,,
1997-12-31,10012.453148890889,,
1998-12-31,9910.910493600013,,
1999-12-31,10012.552515738338,,
2000-12-31,9903.129071916836,,
2001-12-31,10091.587692129939,,
2002-12-31,9879.147454136426,,
2003-12-31,9863.431316484708,,
2004-12-31,9792.981500374915,,
2005-12-31,9297.69861724852,,
2006-12-31,,9660.225412946415,9715.834228689995
2007-12-31,,9562.251643240776,9736.347729753752
2008-12-31,,9796.344679870588,9729.502808707082
2009-12-31,,9653.90524313789,9775.556474260587
2010-12-31,,9702.280694710853,9816.869215393053
2011-12-31,,9667.916731218595,9676.664954398004
2012-12-31,,9546.626503295882,9438.755677664607
2013-12-31,,9674.696250610335,9739.436737714477
2014-12-31,,9662.316654619473,9616.052472577763
2015-12-31,,9566.837012111104,9724.927479378823
2016-12-31,,9641.153125741124,9623.53644221713
2017-12-31,,9635.925828552232,9459.950187334318
2018-12-31,,9627.78036512101,9347.232655857617
2019-12-31,,9491.146988394587,9439.330036577481
2020-12-31,,9494.849961417045,9423.2789350237
2021-12-31,,9548.22517700194,9382.973257969434
2022-12-31,,9335.503290361663,9291.890144130146
2023-12-31,,9331.8828463309,9334.899873308439
2024-12-31,,9367.994537440694,9279.759839608314
2025-12-31,,9172.189734235477,9377.088103419697
2026-12-31,,9074.093948974594,9251.081577933162
2027-12-31,,9324.158290230873,9303.224931553417
2028-12-31,,9185.169347228988,9063.865800519658
2029-12-31,,9130.656209716783,9072.309292558926
2030-12-31,,9212.741666826505,8952.690868879032
2031-12-31,,9158.173232988616,9159.381806204645
2032-12-31,,9131.19365291049,9264.240334865008
2033-12-31,,9063.662022966642,8964.650514308367
2034-12-31,,9117.542958330412,9046.473012215736
2035-12-31,,8929.22908033097,8914.5455303083
2036-12-31,,8980.483958304256,8966.734616132446
2037-12-31,,9129.842399161185,8769.917277178067
2038-12-31,,9026.282639421719,8839.416960972361
2039-12-31,,8937.606900547557,8862.094850769028
2040-12-31,,9159.249539228153,8829.250634809207
2041-12-31,,8928.012866385308,8833.569367675766
2042-12-31,,8967.52374337331,8669.934398149748
2043-12-31,,8961.286160714271,8679.419206455761
2044-12-31,,8979.254390563949,8778.51006168909
2045-12-31,,8813.254550170885,8594.510960039397
2046-12-31,,8813.055866045257,8490.020639692017
2047-12-31,,8738.852534659234,8494.078138863686
2048-12-31,,8832.641884809207,8544.00546739849
2049-12-31,,8689.287388480036,8414.00945347376
2050-12-31,,8626.870339922209,8218.204766671304
2051-12-31,,8742.061750139492,8391.305655038
2052-12-31,,8631.231620221804,8357.62670397076
2053-12-31,,8597.706176234638,8211.26066476003
2054-12-31,,8647.849771379728,8135.7767924717355
2055-12-31,,8687.084339250823,8158.968878391797
2056-12-31,,8845.260398995522,8121.613420322949
2057-12-31,,8655.59094979421,7944.398102809347
2058-12-31,,8464.846279471247,7984.230347377219
2059-12-31,,8528.445770568833,7929.797304556697
2060-12-31,,8757.31693795339,8020.6362425013795
2061-12-31,,8584.757522408607,7975.078014264775
2062-12-31,,8595.216726074203,7864.502563214969
2063-12-31,,8616.470885096944,7888.401455208902
2064-12-31,,8667.036869550418,7824.610564313603
2065-12-31,,8448.109896196625,7770.424657069601
2066-12-31,,8474.938850490013,7741.9537581089435
2067-12-31,,8590.661780264703,7770.903187125055
2068-12-31,,8658.63384102956,7454.573334481362
2069-12-31,,8431.056541442857,7435.733461870453
2070-12-31,,8558.543906642355,7453.921176016658
2071-12-31,,8527.542875235406,7471.554111676885
2072-12-31,,8321.392183489104,7510.993466666071
2073-12-31,,8404.643133196136,7365.882413242872
2074-12-31,,8378.170141121987,7388.38651620046
2075-12-31,,8383.706221008288,7350.906750619057
2076-12-31,,8212.648958522237,7397.058112880147
2077-12-31,,8352.175146048396,7332.157740740082
2078-12-31,,8371.49584668839,7196.447066693974
2079-12-31,,8330.864837602872,7186.232895594992
2080-12-31,,8537.45940163747,7296.665524989525
2081-12-31,,8401.94279706681,7069.618842642635
